mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
38182b2eef40,1747748019.3002362,0j,0j,0j,(-5120+5120j),(493+393j),(616-146j),(305-556j),(-168-616j),(-529-367j),(-658+28j),(-499+414j),(-169+618j),(229+640j),(536+385j),(659+59j),(601-311j),(359-597j),(15-697j),(-334-612j),(-600-372j),(-705-23j),(-643+332j),(-392+583j),(-38+703j),(287+654j),(571+437j),(694+105j),(678-220j),(498-518j),(211-697j),(-132-709j),(-453-544j),0j,(-728+75j),(-609+365j),(-355+611j),(-42+710j),(295+640j),(567+445j),(674+100j),(652-235j),(473-496j),(186-684j),(-174-681j),(-473-494j),(-650-207j),(-643+135j),(-492+460j),(-189+634j),(156+635j),(460+440j),(638+160j),(573-234j),(388-477j),(-14-650j),(-284-295j),(-599-271j),(-553+205j),(-245+521j),(230+567j),(10246+5376j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748019.3161335,0j,0j,0j,(-5120+5120j),(-511+375j),(-241+574j),(67+634j),(319+541j),(503+409j),(600+242j),(646+44j),(632-129j),(587-308j),(487-442j),(393-540j),(279-630j),(153-680j),(18-692j),(-93-688j),(-208-666j),(-333-609j),(-465-562j),(-522-459j),(-610-371j),(-648-290j),(-671-178j),(-707-74j),(-710+29j),(-710+126j),(-689+216j),(-648+298j),(-569+395j),0j,(-464+550j),(-381+614j),(-272+636j),(-188+683j),(-96+684j),(-1+714j),(111+668j),(210+659j),(301+613j),(396+581j),(469+513j),(550+413j),(596+312j),(631+185j),(663+71j),(650-59j),(633-175j),(539-302j),(481-412j),(359-501j),(221-563j),(65-591j),(-108-602j),(-271-519j),(-447-397j),(-547-180j),(-581+88j),(10246+5376j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748019.3325472,0j,0j,0j,(-5120+5120j),(320-559j),(-67-634j),(-390-505j),(-590-264j),(-646-7j),(-598+233j),(-475+449j),(-300+578j),(-87+667j),(127+634j),(304+596j),(458+495j),(580+354j),(661+206j),(691+37j),(699-146j),(632-305j),(561-460j),(421-560j),(272-652j),(137-703j),(3-685j),(-182-696j),(-317-637j),(-453-566j),(-557-457j),(-626-331j),(-679-176j),0j,(-719+111j),(-670+248j),(-597+383j),(-503+493j),(-375+584j),(-254+673j),(-84+666j),(53+683j),(200+661j),(354+615j),(472+517j),(570+377j),(627+233j),(648+68j),(651-91j),(604-253j),(509-411j),(365-527j),(210-600j),(13-628j),(-156-578j),(-346-488j),(-499-327j),(-591-125j),(-578+121j),(-453+363j),(-190+560j),(10246+5376j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748019.3424726,0j,0j,0j,(-5120+5120j),(-670-128j),(-653+253j),(-447+526j),(-174+681j),(75+710j),(303+636j),(496+518j),(631+332j),(714+169j),(720-35j),(692-197j),(640-357j),(572-506j),(458-608j),(332-688j),(208-746j),(47-754j),(-91-795j),(-232-735j),(-384-690j),(-477-626j),(-570-522j),(-663-418j),(-707-295j),(-767-195j),(-784-61j),(-778+55j),(-751+174j),0j,(-675+400j),(-605+490j),(-516+581j),(-436+659j),(-308+707j),(-195+769j),(-54+764j),(87+751j),(179+724j),(320+702j),(431+639j),(534+521j),(605+411j),(660+276j),(705+160j),(719+12j),(704-151j),(636-301j),(550-443j),(411-561j),(261-622j),(59-663j),(-143-649j),(-143-649j),(-509-405j),(-628-148j),(-625+163j),(10246+6144j),(-10832-32640j),(128+0j),0j
38182b2eef40,1747748019.3661938,0j,0j,0j,(-5120+5120j),(-203-592j),(-504-393j),(-629-79j),(-597+204j),(-482+414j),(-312+559j),(-96+644j),(111+640j),(311+596j),(469+464j),(571+340j),(643+204j),(702+45j),(678-127j),(633-278j),(560-409j),(459-510j),(363-624j),(218-671j),(68-706j),(-60-700j),(-199-688j),(-333-629j),(-435-557j),(-548-474j),(-612-376j),(-663-243j),(-694-117j),0j,(-706+127j),(-666+245j),(-608+357j),(-543+470j),(-435+553j),(-336+637j),(-197+656j),(-58+691j),(71+673j),(197+672j),(333+627j),(455+510j),(530+407j),(588+282j),(647+142j),(660-3j),(636-164j),(564-305j),(465-438j),(308-540j),(150-600j),(-52-596j),(-237-549j),(-409-446j),(-541-245j),(-591+13j),(-505+302j),(10246+5376j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748019.3761778,0j,0j,0j,(-5120+5120j),(580+253j),(629-82j),(512-373j),(322-539j),(138-630j),(138-630j),(-251-602j),(-394-520j),(-533-422j),(-590-270j),(-634-149j),(-677-27j),(-691+111j),(-649+227j),(-606+335j),(-546+435j),(-456+511j),(-387+606j),(-286+639j),(-173+678j),(-93+697j),(-6+708j),(99+697j),(197+672j),(281+657j),(361+615j),(437+560j),(492+486j),0j,(621+359j),(658+281j),(673+191j),(701+103j),(695+8j),(721-75j),(660-173j),(645-275j),(595-346j),(557-446j),(485-516j),(368-562j),(284-598j),(164-619j),(67-657j),(-49-654j),(-176-639j),(-297-577j),(-390-508j),(-492-399j),(-534-259j),(-589-115j),(-604+54j),(-562+226j),(-447+395j),(-257+545j),(7+594j),(10246+5376j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748019.387711,0j,0j,0j,(-5120+5120j),(276-545j),(-38-624j),(-332-545j),(-530-370j),(-623-168j),(-651+25j),(-607+222j),(-536+355j),(-444+502j),(-305+566j),(-182+634j),(-49+661j),(81+679j),(209+665j),(319+631j),(421+571j),(503+499j),(590+411j),(636+298j),(669+206j),(694+119j),(686+25j),(705-74j),(687-169j),(657-265j),(613-353j),(560-423j),(499-493j),0j,(388-623j),(281-654j),(191-693j),(99-712j),(16-707j),(-70-716j),(-160-664j),(-252-633j),(-343-591j),(-430-544j),(-515-474j),(-576-369j),(-621-281j),(-641-180j),(-655-69j),(-655+54j),(-623+181j),(-578+293j),(-496+398j),(-402+487j),(-249+539j),(-103+594j),(72+593j),(233+555j),(405+441j),(545+246j),(577-28j),(10246+5376j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748019.3974655,0j,0j,0j,(-5120+5120j),(494-389j),(210-588j),(-113-613j),(-374-504j),(-547-335j),(-633-126j),(-634+94j),(-586+284j),(-503+444j),(-350+550j),(-217+632j),(-52+671j),(104+684j),(244+654j),(378+591j),(497+512j),(593+394j),(658+271j),(698+127j),(696+7j),(709-125j),(665-253j),(609-359j),(540-460j),(459-538j),(365-606j),(255-652j),(113-686j),0j,(-91-706j),(-221-673j),(-320-630j),(-417-565j),(-513-494j),(-592-404j),(-622-277j),(-674-158j),(-688-36j),(-689+93j),(-665+214j),(-589+328j),(-520+432j),(-417+526j),(-276+598j),(-149+651j),(-2+648j),(162+627j),(292+564j),(412+457j),(524+321j),(583+145j),(600-41j),(569-238j),(420-425j),(194-557j),(-95-575j),(10246+5376j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748019.407764,0j,0j,0j,(-5120+5120j),(94-606j),(-199-594j),(-437-454j),(-605-235j),(-639-10j),(-632+186j),(-544+366j),(-423+487j),(-282+591j),(-146+634j),(-14+653j),(114+658j),(238+638j),(357+591j),(456+531j),(538+454j),(614+366j),(671+250j),(703+148j),(715+34j),(714-63j),(687-155j),(658-252j),(618-343j),(572-413j),(520-489j),(454-548j),(454-548j),0j,(210-714j),(124-694j),(37-710j),(-59-705j),(-145-691j),(-239-666j),(-327-599j),(-412-559j),(-482-494j),(-535-421j),(-612-344j),(-643-236j),(-667-137j),(-674-33j),(-651+70j),(-631+203j),(-569+305j),(-515+408j),(-378+492j),(-311+538j),(-103+604j),(20+628j),(288+597j),(288+597j),(477+323j),(506+102j),(544-129j),(10246+5376j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748019.412273,0j,0j,0j,(-5120+5120j),(-633-266j),(-682+120j),(-534+469j),(-264+657j),(9+710j),(263+662j),(473+527j),(620+373j),(702+161j),(724-43j),(692-224j),(618-397j),(511-547j),(381-658j),(235-734j),(75-774j),(-89-775j),(-258-740j),(-407-659j),(-521-561j),(-629-461j),(-686-318j),(-757-182j),(-770-44j),(-767+96j),(-743+231j),(-695+366j),(-598+494j),0j,(-405+681j),(-277+736j),(-137+772j),(9+777j),(152+759j),(282+719j),(410+639j),(521+550j),(610+435j),(690+310j),(741+171j),(749+7j),(724-152j),(670-290j),(589-420j),(482-545j),(325-638j),(148-697j),(-24-701j),(-214-653j),(-378-557j),(-528-409j),(-626-215j),(-666+12j),(-602+270j),(-425+511j),(-115+630j),(10246+6144j),(-10832-32640j),(1152+0j),0j
