mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
38182b2eef40,1747747879.5924268,0j,0j,0j,(-5120+5120j),(633+113j),(609-241j),(419-506j),(171-633j),(-53-669j),(-262-621j),(-430-503j),(-548-367j),(-674-216j),(-688-26j),(-672+111j),(-644+245j),(-618+381j),(-531+490j),(-442+595j),(-333+664j),(-196+723j),(-85+761j),(45+756j),(189+722j),(293+712j),(399+659j),(501+579j),(573+497j),(634+407j),(688+341j),(722+239j),(765+116j),0j,(768-99j),(736-193j),(705-305j),(652-390j),(594-484j),(538-585j),(418-615j),(309-679j),(200-711j),(105-749j),(-5-775j),(-150-732j),(-255-688j),(-367-623j),(-459-545j),(-563-461j),(-642-319j),(-693-171j),(-712-29j),(-665+143j),(-583+290j),(-499+437j),(-351+564j),(-184+661j),(68+658j),(325+584j),(544+358j),(10246+6912j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747747879.601535,0j,0j,0j,(-5120+5120j),(-486-447j),(-661-106j),(-611+225j),(-459+463j),(-277+609j),(-52+669j),(169+659j),(340+567j),(520+485j),(618+318j),(659+161j),(701+11j),(718-145j),(677-292j),(620-434j),(510-537j),(383-624j),(284-733j),(146-740j),(-13-759j),(-122-748j),(-225-703j),(-368-670j),(-464-594j),(-574-523j),(-640-439j),(-696-314j),(-757-195j),0j,(-775+39j),(-760+157j),(-711+270j),(-680+390j),(-592+491j),(-530+586j),(-406+613j),(-286+686j),(-286+686j),(-42+771j),(79+764j),(236+698j),(348+635j),(457+542j),(556+463j),(638+335j),(715+183j),(709+13j),(713-139j),(624-297j),(501-454j),(351-558j),(179-659j),(-54-684j),(-292-602j),(-496-417j),(-646-140j),(10246+6912j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747747879.613528,0j,0j,0j,(-5120+5120j),(-517-394j),(-656-49j),(-598+289j),(-405+541j),(-167+634j),(62+666j),(280+597j),(471+511j),(622+345j),(682+148j),(689-24j),(665-189j),(637-345j),(547-494j),(439-612j),(304-689j),(145-746j),(-11-771j),(-165-734j),(-306-682j),(-436-641j),(-559-525j),(-633-414j),(-707-288j),(-730-159j),(-778-40j),(-754+94j),(-720+246j),0j,(-613+488j),(-513+569j),(-416+662j),(-285+714j),(-136+767j),(-16+788j),(143+722j),(274+701j),(388+634j),(502+560j),(602+468j),(666+306j),(721+177j),(734+17j),(699-127j),(685-290j),(575-428j),(448-565j),(296-652j),(89-681j),(-89-625j),(-292-599j),(-456-478j),(-612-307j),(-663-52j),(-628+243j),(-413+503j),(10246+6912j),(-11088-32640j),(1152+0j),0j
38182b2eef40,1747747879.6214452,0j,0j,0j,(-5120+5120j),(455-457j),(145-642j),(-174-629j),(-422-504j),(-581-318j),(-663-112j),(-654+112j),(-608+281j),(-529+461j),(-371+586j),(-234+646j),(-88+703j),(59+727j),(212+717j),(360+669j),(477+591j),(582+495j),(661+381j),(706+250j),(737+128j),(754+2j),(728-161j),(715-266j),(667-374j),(610-476j),(531-567j),(437-629j),(316-694j),0j,(128-775j),(-10-779j),(-130-754j),(-240-727j),(-344-673j),(-449-636j),(-534-501j),(-620-426j),(-675-326j),(-728-202j),(-756-92j),(-748+61j),(-716+178j),(-660+313j),(-587+428j),(-490+534j),(-356+627j),(-197+674j),(-50+714j),(137+682j),(272+626j),(445+504j),(588+342j),(663+140j),(655-107j),(550-362j),(323-572j),(10246+6912j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747747879.6310718,0j,0j,0j,(-5120+5120j),(591-278j),(315-573j),(-60-656j),(-368-538j),(-557-355j),(-656-100j),(-657+168j),(-545+425j),(-403+583j),(-168+671j),(25+693j),(214+666j),(414+606j),(568+464j),(685+304j),(737+130j),(737-80j),(723-270j),(622-432j),(486-577j),(344-681j),(157-728j),(-28-760j),(-176-737j),(-354-685j),(-497-601j),(-599-457j),(-710-312j),0j,(-762+20j),(-747+185j),(-690+345j),(-592+491j),(-462+605j),(-316+723j),(-151+721j),(53+735j),(221+714j),(387+659j),(527+566j),(637+384j),(704+220j),(720+29j),(707-149j),(640-338j),(515-513j),(338-620j),(139-706j),(-99-681j),(-270-548j),(-495-447j),(-633-249j),(-691+5j),(-608+285j),(-389+537j),(-35+652j),(10246+6912j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747747879.6415544,0j,0j,0j,(-5120+5120j),(649+53j),(585-304j),(351-552j),(94-656j),(-151-643j),(-362-569j),(-515-426j),(-628-253j),(-710-74j),(-678+115j),(-635+264j),(-562+403j),(-489+541j),(-373+638j),(-250+711j),(-112+743j),(46+753j),(191+737j),(321+689j),(437+607j),(530+544j),(597+410j),(688+327j),(727+204j),(749+96j),(762-14j),(757-142j),(723-271j),0j,(622-476j),(529-558j),(433-635j),(341-691j),(218-734j),(107-776j),(-26-745j),(-154-731j),(-264-692j),(-376-643j),(-496-584j),(-587-464j),(-646-354j),(-702-221j),(-709-78j),(-728+73j),(-685+224j),(-611+376j),(-506+508j),(-354+597j),(-168+634j),(14+669j),(211+638j),(407+558j),(562+363j),(661+89j),(605-227j),(10246+6912j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747747879.6517663,0j,0j,0j,(-5120+5120j),(72-644j),(-304-579j),(-576-313j),(-657-13j),(-610+259j),(-469+487j),(-255+613j),(-31+683j),(200+685j),(384+559j),(522+426j),(634+273j),(726+93j),(712-96j),(688-278j),(599-445j),(472-588j),(314-702j),(130-748j),(-51-752j),(-212-744j),(-381-666j),(-497-581j),(-607-455j),(-694-310j),(-758-155j),(-767+10j),(-767+181j),0j,(-611+464j),(-496+585j),(-372+680j),(-217+739j),(-52+787j),(105+788j),(273+665j),(406+626j),(523+511j),(639+388j),(734+240j),(749+44j),(725-133j),(667-298j),(558-449j),(435-589j),(252-673j),(57-711j),(-139-705j),(-327-618j),(-483-496j),(-605-260j),(-666-30j),(-656+228j),(-481+462j),(-211+626j),(149+629j),(10246+6912j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747747879.6653507,0j,0j,0j,(-5120+5120j),(580-307j),(352-557j),(60-656j),(-260-604j),(-451-503j),(-564-340j),(-681-162j),(-675+50j),(-664+242j),(-568+390j),(-486+505j),(-427+561j),(-381+604j),(-278+682j),(-164+727j),(-50+754j),(145+725j),(283+741j),(357+634j),(487+609j),(526+514j),(603+411j),(688+302j),(730+200j),(771+177j),(759+154j),(776+53j),(752-99j),0j,(711-339j),(696-399j),(593-461j),(560-560j),(454-582j),(343-706j),(225-677j),(124-737j),(27-750j),(-8-776j),(-51-763j),(-176-723j),(-278-683j),(-417-575j),(-529-524j),(-585-396j),(-691-299j),(-673-143j),(-710+48j),(-648+210j),(-576+294j),(-485+490j),(-386+580j),(-250+627j),(-35+669j),(273+593j),(527+412j),(10246+6912j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747747879.6727426,0j,0j,0j,(-5120+5120j),(-616+129j),(-370+561j),(95+648j),(513+438j),(665+7j),(550-391j),(235-640j),(-145-672j),(-495-502j),(-678-164j),(-671+181j),(-502+506j),(-211+697j),(141+728j),(473+590j),(701+295j),(758-50j),(650-385j),(410-644j),(74-763j),(-271-718j),(-552-540j),(-730-231j),(-756+94j),(-651+411j),(-417+651j),(-100+764j),(244+731j),0j,(735+282j),(770-52j),(671-371j),(441-628j),(129-759j),(-212-749j),(-476-544j),(-706-293j),(-755+51j),(-656+357j),(-442+620j),(-97+747j),(240+710j),(539+505j),(669+212j),(698-120j),(566-462j),(278-673j),(-147-715j),(-429-450j),(-617-182j),(-616+160j),(-562+367j),(-127+775j),(356+646j),(736+291j),(658-320j),(10246+6912j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747747879.6815429,0j,0j,0j,(-5120+5120j),(-558-324j),(-659+22j),(-567+344j),(-360+551j),(-153+647j),(68+675j),(283+618j),(461+498j),(585+373j),(662+197j),(693+44j),(692-117j),(675-263j),(612-405j),(530-527j),(426-618j),(306-691j),(172-746j),(26-753j),(-118-747j),(-233-731j),(-363-670j),(-474-607j),(-549-524j),(-632-439j),(-702-339j),(-735-230j),(-779-97j),0j,(-761+136j),(-741+237j),(-692+348j),(-623+458j),(-539+551j),(-456+635j),(-308+674j),(-211+728j),(-95+739j),(33+760j),(150+758j),(296+688j),(403+616j),(498+521j),(592+426j),(673+297j),(716+129j),(710-34j),(700-191j),(602-350j),(473-459j),(325-591j),(132-662j),(-81-682j),(-315-589j),(-533-397j),(-654-102j),(10246+6912j),(-10832-32640j),(128+0j),0j
