mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
38182b2eef40,1747747524.5610678,0j,0j,0j,(-5120+5120j),(-380+274j),(-195+428j),(31+477j),(216+418j),(362+314j),(442+190j),(470+37j),(471-90j),(410-203j),(356-291j),(297-361j),(225-423j),(141-466j),(59-492j),(-19-502j),(-109-501j),(-191-480j),(-269-430j),(-328-391j),(-379-351j),(-453-311j),(-502-256j),(-564-168j),(-593-96j),(-607-25j),(-621+64j),(-616+158j),(-611+262j),0j,(-551+485j),(-474+547j),(-398+642j),(-299+719j),(-178+770j),(-41+806j),(101+812j),(255+795j),(391+753j),(526+694j),(658+603j),(782+465j),(870+298j),(914+116j),(921-80j),(893-284j),(797-489j),(647-680j),(453-815j),(213-899j),(-40-905j),(-307-863j),(-566-720j),(-784-497j),(-907-164j),(-884+251j),(-639+632j),(10246+5376j),(-13392-32640j),(128+0j),0j
38182b2eef40,1747747524.570838,0j,0j,0j,(-5120+5120j),(-333+334j),(-142+450j),(85+471j),(275+407j),(384+298j),(436+189j),(473+78j),(469-47j),(449-154j),(407-238j),(364-311j),(317-368j),(257-411j),(208-448j),(148-480j),(88-504j),(24-516j),(-37-517j),(-94-517j),(-145-507j),(-207-510j),(-281-503j),(-333-471j),(-383-445j),(-435-425j),(-504-385j),(-557-328j),(-589-271j),0j,(-711-127j),(-722-53j),(-754+40j),(-774+137j),(-760+248j),(-738+343j),(-685+439j),(-650+534j),(-593+646j),(-491+736j),(-376+834j),(-228+879j),(-79+915j),(73+918j),(239+902j),(409+856j),(578+764j),(726+630j),(833+465j),(907+252j),(916+39j),(883-218j),(778-447j),(602-686j),(324-856j),(-47-913j),(-447-777j),(10246+5376j),(-13392-32640j),(128+0j),0j
38182b2eef40,1747747524.580796,0j,0j,0j,(-5120+5120j),(-463+132j),(-338+346j),(-163+448j),(-4+470j),(133+442j),(236+398j),(315+343j),(373+289j),(427+209j),(459+134j),(470+57j),(482+6j),(482-40j),(494-85j),(488-131j),(487-197j),(456-235j),(451-286j),(422-312j),(421-350j),(402-385j),(394-411j),(361-446j),(330-475j),(327-504j),(297-543j),(283-588j),(211-620j),0j,(124-747j),(100-734j),(38-742j),(-42-796j),(-123-793j),(-205-809j),(-252-782j),(-352-762j),(-413-750j),(-507-715j),(-582-692j),(-682-610j),(-755-537j),(-829-408j),(-887-300j),(-923-151j),(-960-15j),(-937+162j),(-903+319j),(-791+500j),(-670+627j),(-485+768j),(-291+868j),(-48+921j),(220+902j),(507+745j),(753+457j),(10246+5376j),(-13392-32640j),(128+0j),0j
38182b2eef40,1747747524.5907323,0j,0j,0j,(-5120+5120j),(409+250j),(452+10j),(412-220j),(289-361j),(162-450j),(25-474j),(-109-452j),(-237-410j),(-315-348j),(-392-255j),(-445-180j),(-470-93j),(-496-8j),(-487+57j),(-482+137j),(-461+202j),(-429+270j),(-400+329j),(-362+375j),(-306+443j),(-274+495j),(-202+525j),(-142+574j),(-74+599j),(19+614j),(103+653j),(162+654j),(269+611j),0j,(470+571j),(538+539j),(603+456j),(705+371j),(759+268j),(828+153j),(846+7j),(856-117j),(830-254j),(797-426j),(740-540j),(598-684j),(501-784j),(330-856j),(175-929j),(-18-949j),(-228-927j),(-454-823j),(-626-728j),(-773-516j),(-880-283j),(-913-42j),(-890+243j),(-754+520j),(-512+772j),(-141+898j),(285+864j),(10246+5376j),(-13392-32640j),(1152+0j),0j
38182b2eef40,1747747524.6107306,0j,0j,0j,(-5120+5120j),(-161+434j),(99+462j),(315+358j),(439+189j),(469+21j),(456-132j),(392-276j),(288-360j),(202-446j),(85-472j),(-12-470j),(-104-465j),(-198-437j),(-277-405j),(-366-361j),(-425-287j),(-466-218j),(-505-144j),(-519-54j),(-531+15j),(-546+105j),(-538+189j),(-516+273j),(-474+360j),(-425+424j),(-382+503j),(-300+574j),(-230+641j),0j,(12+742j),(124+723j),(253+725j),(391+689j),(512+623j),(626+539j),(702+424j),(797+289j),(859+147j),(890-12j),(900-185j),(844-367j),(763-543j),(623-700j),(453-830j),(239-924j),(8-951j),(-228-922j),(-450-837j),(-658-666j),(-787-445j),(-894-179j),(-903+116j),(-822+433j),(-590+724j),(-203+916j),(266+866j),(10246+5376j),(-13136-32640j),(128+0j),0j
38182b2eef40,1747747524.6207705,0j,0j,0j,(-5120+5120j),(-285+385j),(-76+462j),(136+456j),(295+366j),(394+256j),(459+141j),(468+11j),(461-108j),(432-225j),(374-295j),(308-367j),(256-405j),(185-444j),(105-462j),(61-489j),(-6-495j),(-77-503j),(-156-507j),(-207-484j),(-273-464j),(-319-448j),(-390-422j),(-435-393j),(-507-352j),(-549-290j),(-600-233j),(-644-151j),(-675-95j),0j,(-743+78j),(-719+184j),(-700+267j),(-700+267j),(-657+464j),(-617+554j),(-525+670j),(-445+733j),(-340+832j),(-202+880j),(-61+907j),(102+898j),(232+880j),(402+847j),(554+757j),(707+650j),(818+478j),(891+308j),(942+97j),(934-124j),(863-374j),(723-580j),(531-763j),(262-894j),(-68-916j),(-425-812j),(-743-505j),(10246+5376j),(-13136-32640j),(128+0j),0j
38182b2eef40,1747747524.6329393,0j,0j,0j,(-5120+5120j),(421+209j),(480-57j),(387-273j),(239-404j),(65-454j),(-100-472j),(-248-412j),(-345-332j),(-430-240j),(-467-125j),(-482-19j),(-458+68j),(-457+154j),(-428+240j),(-380+324j),(-316+382j),(-260+445j),(-164+494j),(-91+527j),(-12+534j),(54+571j),(146+544j),(250+534j),(325+487j),(406+449j),(495+389j),(573+324j),(650+248j),0j,(740+35j),(733-79j),(749-207j),(701-350j),(647-473j),(571-592j),(460-676j),(336-791j),(209-844j),(35-889j),(-131-899j),(-318-867j),(-501-787j),(-670-660j),(-790-479j),(-888-297j),(-941-71j),(-941+193j),(-853+430j),(-679+643j),(-495+794j),(-206+889j),(85+911j),(389+841j),(685+614j),(901+249j),(863-225j),(10246+5376j),(-13392-32640j),(128+0j),0j
38182b2eef40,1747747524.6408837,0j,0j,0j,(-5120+5120j),(-202+432j),(34+469j),(248+394j),(391+250j),(462+100j),(471-49j),(438-186j),(365-285j),(277-374j),(187-413j),(96-463j),(2-475j),(-88-481j),(-178-458j),(-237-410j),(-308-392j),(-358-342j),(-434-301j),(-469-238j),(-532-149j),(-530-77j),(-555-13j),(-555+79j),(-561+146j),(-560+240j),(-539+320j),(-514+419j),(-418+499j),0j,(-315+644j),(-213+732j),(-120+736j),(-7+807j),(136+783j),(285+787j),(404+725j),(553+654j),(655+569j),(779+466j),(874+324j),(901+159j),(938-26j),(888-216j),(860-413j),(742-592j),(589-765j),(372-861j),(148-929j),(-104-918j),(-343-850j),(-591-703j),(-791-491j),(-910-202j),(-918+153j),(-740+531j),(-393+813j),(10246+5376j),(-13136-32640j),(128+0j),0j
38182b2eef40,1747747524.6508949,0j,0j,0j,(-5120+5120j),(-443-220j),(-464+4j),(-426+208j),(-324+351j),(-196+425j),(-67+453j),(54+459j),(163+438j),(257+399j),(325+338j),(376+280j),(417+226j),(451+171j),(472+109j),(484+40j),(492-25j),(500-88j),(505-148j),(499-199j),(479-251j),(457-309j),(457-309j),(389-430j),(360-475j),(332-506j),(295-543j),(240-586j),(179-650j),0j,(24-733j),(-43-718j),(-130-742j),(-227-747j),(-342-736j),(-449-707j),(-519-634j),(-641-573j),(-713-495j),(-786-404j),(-856-293j),(-896-153j),(-912+2j),(-907+154j),(-887+310j),(-838+476j),(-732+633j),(-572+768j),(-383+870j),(-175+928j),(49+930j),(275+889j),(507+768j),(722+579j),(881+299j),(917-66j),(773-461j),(10246+5376j),(-13136-32640j),(128+0j),0j
38182b2eef40,1747747524.6608493,0j,0j,0j,(-5120+5120j),(300+370j),(462+141j),(471-109j),(383-300j),(221-412j),(76-464j),(-72-452j),(-206-424j),(-310-368j),(-383-268j),(-442-177j),(-457-69j),(-475+26j),(-470+115j),(-459+212j),(-422+293j),(-363+361j),(-284+431j),(-214+470j),(-138+508j),(-58+549j),(23+565j),(128+571j),(223+562j),(325+533j),(403+492j),(495+435j),(592+324j),0j,(729+123j),(756+4j),(758-134j),(740-253j),(690-404j),(628-533j),(526-628j),(404-767j),(260-845j),(85-887j),(-96-919j),(-298-872j),(-495-795j),(-650-675j),(-798-492j),(-913-297j),(-945-64j),(-940+208j),(-845+438j),(-672+654j),(-436+795j),(-170+903j),(142+916j),(457+810j),(749+556j),(905+161j),(836-319j),(10246+5376j),(-13392-32640j),(128+0j),0j
