mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
38182b2eef40,1747747175.019239,0j,0j,0j,(-5120+5120j),(226-247j),(48-344j),(-136-336j),(-287-253j),(-358-133j),(-392+17j),(-386+140j),(-335+276j),(-243+392j),(-120+440j),484j,(115+478j),(248+465j),(377+423j),(482+323j),(565+217j),(617+80j),(640-66j),(633-222j),(577-368j),(497-488j),(410-597j),(286-690j),(139-763j),(-33-784j),(-203-762j),(-350-736j),(-506-667j),0j,(-748-430j),(-859-265j),(-895-80j),(-890+113j),(-843+307j),(-780+490j),(-657+624j),(-493+760j),(-330+851j),(-130+907j),(68+933j),(288+873j),(517+772j),(671+630j),(795+428j),(871+220j),(883-29j),(852-273j),(713-479j),(505-670j),(279-765j),(-9-802j),(-273-747j),(-520-574j),(-696-310j),(-721+40j),(-573+404j),(10246+5376j),(-13136-32640j),(128+0j),0j
38182b2eef40,1747747175.0292702,0j,0j,0j,(-5120+5120j),(-233+214j),(-98+325j),(70+347j),(217+304j),(324+226j),(397+121j),(428+7j),(419-117j),(388-221j),(342-320j),(282-408j),(206-487j),(107-543j),(-2-576j),(-115-580j),(-222-575j),(-330-545j),(-432-505j),(-528-435j),(-609-350j),(-675-236j),(-713-131j),(-735+11j),(-753+119j),(-742+238j),(-729+347j),(-673+461j),(-594+559j),0j,(-403+790j),(-280+817j),(-155+889j),(7+912j),(156+922j),(313+875j),(442+788j),(572+716j),(682+628j),(786+500j),(882+369j),(925+178j),(941-1j),(898-187j),(842-354j),(741-521j),(614-663j),(427-773j),(231-833j),(-7-832j),(-223-778j),(-428-668j),(-593-510j),(-714-295j),(-755-21j),(-675+300j),(-428+574j),(10246+5376j),(-13136-32640j),(128+0j),0j
38182b2eef40,1747747175.039267,0j,0j,0j,(-5120+5120j),(84-331j),(-86-338j),(-275-258j),(-372-101j),(-408+49j),(-366+196j),(-287+290j),(-178+408j),(-60+434j),(50+459j),(189+464j),(298+397j),(414+337j),(514+215j),(563+100j),(618-25j),(599-180j),(568-310j),(490-463j),(400-561j),(298-669j),(136-709j),(-4-721j),(-166-719j),(-320-684j),(-462-652j),(-604-551j),(-708-447j),0j,(-879-110j),(-908+87j),(-879+272j),(-796+441j),(-681+611j),(-537+763j),(-364+844j),(-175+893j),(7+917j),(192+906j),(422+855j),(606+729j),(755+542j),(866+321j),(890+88j),(884-145j),(806-366j),(672-569j),(477-719j),(242-809j),(-33-824j),(-282-755j),(-513-585j),(-694-356j),(-765-29j),(-680+338j),(-391+618j),(10246+5376j),(-13136-32640j),(128+0j),0j
38182b2eef40,1747747175.0492558,0j,0j,0j,(-5120+5120j),(80-349j),(-165-341j),(-333-213j),(-407-25j),(-370+155j),(-288+301j),(-149+412j),(-3+467j),(184+454j),(329+375j),(447+261j),(515+121j),(558-35j),(549-211j),(488-386j),(369-534j),(204-634j),(31-670j),(-157-676j),(-335-618j),(-503-537j),(-628-396j),(-727-220j),(-779-17j),(-762+177j),(-723+371j),(-620+557j),(-467+755j),0j,(-12+915j),(174+893j),(430+832j),(635+695j),(812+517j),(910+277j),(900+74j),(917-222j),(821-460j),(683-672j),(477-856j),(220-947j),(-63-965j),(-347-869j),(-574-710j),(-769-494j),(-880-228j),(-907+59j),(-815+356j),(-610+592j),(-372+761j),(-28+812j),(284+760j),(584+580j),(763+234j),(749-175j),(489-533j),(10246+5376j),(-13136-32640j),(1152+0j),0j
38182b2eef40,1747747175.0604956,0j,0j,0j,(-5120+5120j),(-224-274j),(-344-112j),(-376+86j),(-304+259j),(-180+351j),(-39+399j),(109+407j),(251+385j),(377+287j),(449+165j),(492+43j),(505-80j),(508-216j),(455-357j),(364-491j),(249-586j),(104-650j),(-43-677j),(-212-656j),(-371-610j),(-505-523j),(-601-419j),(-691-290j),(-754-135j),(-781+25j),(-777+191j),(-737+348j),(-660+518j),0j,(-411+766j),(-225+876j),(-12+900j),(181+895j),(371+829j),(552+751j),(697+577j),(812+443j),(902+268j),(951+46j),(946-192j),(862-416j),(723-612j),(543-762j),(323-849j),(82-889j),(-156-867j),(-396-768j),(-592-620j),(-741-391j),(-823-139j),(-799+151j),(-680+420j),(-476+626j),(-168+761j),(196+731j),(523+500j),(10246+5376j),(-13136-32640j),(128+0j),0j
38182b2eef40,1747747175.0801797,0j,0j,0j,(-5120+5120j),(-248-313j),(-365-111j),(-393+103j),(-315+274j),(-190+386j),(-50+449j),(94+462j),(252+411j),(378+331j),(460+217j),(515+81j),(550-65j),(551-211j),(507-335j),(425-464j),(326-573j),(194-653j),(35-691j),(-136-704j),(-292-696j),(-432-633j),(-552-524j),(-668-417j),(-754-298j),(-804-142j),(-844+56j),(-825+241j),(-781+409j),0j,(-620+717j),(-441+832j),(-258+914j),(-69+972j),(141+980j),(333+947j),(507+811j),(698+697j),(831+532j),(942+345j),(991+108j),(991+108j),(923-349j),(800-553j),(635-727j),(420-876j),(176-929j),(-96-917j),(-340-841j),(-571-693j),(-740-457j),(-835-176j),(-835+110j),(-729+397j),(-505+645j),(-147+783j),(269+710j),(10246+5376j),(-13136-32640j),(128+0j),0j
38182b2eef40,1747747175.1001494,0j,0j,0j,(-5120+5120j),(-291-285j),(-386-98j),(-397+114j),(-320+291j),(-178+401j),(-23+453j),(139+448j),(294+398j),(411+295j),(493+157j),(535+24j),(542-115j),(527-259j),(460-389j),(369-511j),(265-607j),(111-677j),(-52-719j),(-209-694j),(-371-642j),(-512-569j),(-640-452j),(-755-312j),(-804-155j),(-830+5j),(-842+179j),(-807+357j),(-724+553j),0j,(-459+800j),(-278+902j),(-100+961j),(109+964j),(320+929j),(511+862j),(682+702j),(852+541j),(938+342j),(988+132j),(1018-86j),(954-322j),(842-558j),(667-738j),(441-853j),(200-947j),(-58-953j),(-319-894j),(-548-752j),(-720-524j),(-835-255j),(-851+46j),(-767+339j),(-591+595j),(-299+760j),(70+800j),(455+612j),(10246+5376j),(-13136-32640j),(1152+0j),0j
38182b2eef40,1747747175.1206908,0j,0j,0j,(-5120+5120j),(70+321j),(145+277j),(205+237j),(281+143j),(316+65j),(347-24j),(320-138j),(264-203j),(207-301j),(125-356j),(79-377j),(1-379j),(-42-439j),(-93-425j),(-199-416j),(-261-392j),(-340-316j),(-403-325j),(-454-237j),(-473-135j),(-530-33j),(-526+33j),(-507+168j),(-492+226j),(-394+332j),(-382+411j),(-227+413j),(25+353j),0j,(-260-68j),(-473+68j),(-538+270j),(-446+389j),(-323+548j),(-193+628j),(-129+616j),(73+647j),(119+602j),(267+611j),(308+646j),(428+509j),(463+454j),(593+324j),(630+236j),(702+136j),(676-7j),(624-182j),(552-357j),(415-418j),(291-428j),(159-537j),(10-564j),(-124-582j),(-290-461j),(-435-300j),(-479-162j),(10245+0j),(-11520-32640j),(128+0j),0j
38182b2eef40,1747747175.1400616,0j,0j,0j,(-5120+5120j),(-133-243j),(-253-142j),(-310+0j),(-277+152j),(-195+244j),(-93+311j),(19+327j),(124+322j),(233+292j),(300+226j),(376+138j),(394+38j),(418-66j),(399-185j),(363-277j),(305-385j),(205-451j),(107-499j),(-14-521j),(-125-507j),(-238-490j),(-338-429j),(-437-368j),(-526-277j),(-573-168j),(-610-49j),(-611+82j),(-613+213j),0j,(-492+467j),(-379+550j),(-263+637j),(-123+682j),(32+701j),(191+686j),(327+606j),(327+606j),(578+420j),(653+293j),(713+134j),(705-37j),(678-200j),(597-370j),(472-490j),(330-605j),(137-656j),(-41-658j),(-228-614j),(-386-498j),(-517-342j),(-591-139j),(-581+69j),(-531+287j),(-349+478j),(-95+564j),(209+524j),(10246+5376j),(-13136-32640j),(128+0j),0j
38182b2eef40,1747747175.152802,0j,0j,0j,(-5120+5120j),(132-264j),(-261-153j),(-175+252j),(236+214j),(272-195j),(-117-330j),(-361+8j),(-108+351j),(298+221j),(311-213j),(-94-376j),(-402-54j),(-221+368j),(260+371j),(467-87j),(117-476j),(-399-306j),(-449+254j),(65+530j),(534+146j),(351-451j),(-266-506j),(-591+42j),(-227+553j),(394+462j),(610-142j),(154-634j),(-498-334j),0j,(34+667j),(681+232j),(482-532j),(-294-655j),(-719+5j),(-291+664j),(468+528j),(689-220j),(87-718j),(-617-379j),(-599+412j),(144+714j),(710+139j),(391-596j),(-400-576j),(-675+160j),(-87+685j),(610+312j),(485-467j),(-282-595j),(-638+72j),(-135+611j),(532+306j),(424-425j),(-325-484j),(-507+251j),(199+516j),(10246+5376j),(-12880-32640j),(128+0j),0j
38182b2eef40,1747747175.1602051,0j,0j,0j,(-5120+5120j),(-45+288j),(127+277j),(251+173j),(314+43j),(311-85j),(264-196j),(193-282j),(79-332j),(-26-361j),(-146-347j),(-246-318j),(-323-258j),(-392-177j),(-440-86j),(-464+40j),(-456+145j),(-417+258j),(-368+360j),(-275+438j),(-156+509j),(-45+542j),(70+562j),(189+532j),(314+487j),(424+437j),(507+360j),(570+241j),(637+103j),0j,(645-181j),(592-316j),(521-452j),(431-557j),(282-631j),(128-696j),(-12-687j),(-172-663j),(-304-617j),(-457-542j),(-583-442j),(-659-269j),(-706-94j),(-690+98j),(-642+275j),(-535+424j),(-390+550j),(-217+628j),(-14+647j),(183+605j),(359+500j),(497+358j),(584+148j),(592-93j),(492-324j),(277-487j),(-26-546j),(10246+5376j),(-13136-32640j),(128+0j),0j
