mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
38182b2eef40,1747204947.4212165,(8184+4089j),(4032+4097j),(7168-7193j),(4094+3073j),(-353+626j),(22+712j),(366+615j),(600+406j),(709+166j),(729-76j),(675-294j),(564-480j),(416-601j),(260-681j),(100-725j),(-63-742j),(-220-719j),(-361-669j),(-479-596j),(-587-504j),(-673-385j),(-733-253j),(-760-127j),(-771-8j),(-765+109j),(-736+241j),(-689+346j),(-624+446j),(-554+526j),(-470+593j),(-377+638j),(-278+691j),(-7937-6177j),(-58+771j),(32+728j),(146+729j),(254+707j),(357+661j),(448+596j),(512+505j),(596+420j),(651+320j),(690+214j),(711+94j),(709-30j),(681-152j),(636-263j),(572-367j),(488-465j),(379-550j),(249-608j),(103-636j),(-50-628j),(-194-582j),(-343-497j),(-465-376j),(-557-217j),(-598-8j),(-548+238j),(-375+460j),(10246+5376j),(-11856-32640j),(128+0j),0j
38182b2eef40,1747204947.4336445,(8184+4089j),(4032+4097j),(7168-7193j),(4094+3073j),(232+682j),(577+429j),(738+59j),(687-292j),(490-540j),(248-676j),(-8-733j),(-249-681j),(-469-583j),(-616-409j),(-704-223j),(-748-30j),(-733+168j),(-671+350j),(-565+505j),(-435+624j),(-276+720j),(-97+769j),(82+768j),(250+730j),(403+668j),(528+575j),(633+445j),(703+305j),(754+167j),(765+23j),(738-127j),(710-285j),(-7937-6177j),(550-554j),(395-630j),(272-695j),(127-734j),(-26-748j),(-179-735j),(-309-655j),(-439-578j),(-546-471j),(-631-357j),(-697-211j),(-710-38j),(-687+123j),(-629+279j),(-535+411j),(-414+527j),(-258+608j),(-94+656j),(90+651j),(255+583j),(423+457j),(533+294j),(599+100j),(598-121j),(498-338j),(294-521j),(-20-582j),(10246+5376j),(-11856-32640j),(128+0j),0j
38182b2eef40,1747204947.4417303,(8184+4089j),(4032+4097j),(7168-7193j),(4094+3073j),(697+119j),(659-278j),(448-565j),(158-710j),(-92-705j),(-329-641j),(-508-508j),(-654-326j),(-734-154j),(-743+43j),(-706+193j),(-663+339j),(-590+472j),(-488+585j),(-370+665j),(-239+727j),(-88+761j),(41+763j),(179+758j),(305+711j),(416+656j),(509+576j),(594+475j),(651+375j),(694+295j),(733+196j),(740+92j),(761-23j),(-7937-6177j),(738-282j),(654-346j),(601-442j),(540-529j),(444-605j),(344-661j),(218-698j),(107-706j),(4-723j),(-100-706j),(-205-688j),(-328-625j),(-417-549j),(-515-451j),(-577-346j),(-640-226j),(-662-83j),(-666+53j),(-621+201j),(-545+331j),(-443+434j),(-287+531j),(-132+587j),(57+598j),(247+541j),(455+389j),(565+136j),(10246+5376j),(-11856-32640j),(1152+0j),0j
38182b2eef40,1747204947.4512887,(8184+4089j),(4032+4097j),(7168-7193j),(4094+3073j),(469+541j),(707-37j),(447-576j),(-74-735j),(-526-517j),(-728-67j),(-609+397j),(-240+679j),(193+721j),(561+484j),(729+105j),(685-312j),(411-645j),(14-759j),(-370-661j),(-658-388j),(-766-2j),(-668+382j),(-387+668j),(-5+768j),(362+679j),(641+423j),(766+66j),(700-308j),(467-609j),(118-751j),(-245-702j),(-542-520j),(-7937-6177j),(-758+187j),(-534+498j),(-240+699j),(116+734j),(453+598j),(682+312j),(718-57j),(614-392j),(344-638j),(-16-723j),(-369-614j),(-616-337j),(-684+16j),(-578+344j),(-331+585j),(21+670j),(374+552j),(607+266j),(649-99j),(476-427j),(137-602j),(-228-556j),(-517-301j),(-596+82j),(-409+445j),(13+597j),(439+377j),(10246+5376j),(-11856-32640j),(128+0j),0j
38182b2eef40,1747204947.4665282,(8184+4089j),(4032+4097j),(7168-7193j),(4094+3073j),(-486-556j),(-687-202j),(-704+177j),(-540+451j),(-362+624j),(-120+703j),(111+725j),(328+640j),(497+564j),(628+404j),(715+245j),(753+70j),(756-103j),(730-256j),(654-405j),(579-528j),(449-612j),(332-712j),(187-730j),(49-785j),(-66-776j),(-210-725j),(-306-706j),(-422-641j),(-538-571j),(-601-446j),(-662-348j),(-706-239j),(-7937-6177j),(-791+7j),(-748+116j),(-709+230j),(-667+348j),(-581+447j),(-523+527j),(-413+601j),(-314+643j),(-200+686j),(-66+722j),(74+708j),(204+670j),(318+605j),(417+535j),(525+456j),(592+320j),(636+188j),(640+36j),(635-113j),(576-257j),(471-389j),(342-503j),(174-589j),(-27-600j),(-241-554j),(-439-405j),(-588-144j),(10246+5376j),(-11856-32640j),(1152+0j),0j
38182b2eef40,1747204947.4739501,(8184+4089j),(4032+4097j),(7168-7193j),(4094+3073j),(-729+65j),(-534+473j),(-217+685j),(128+710j),(409+609j),(597+419j),(706+177j),(717-51j),(674-284j),(558-477j),(422-606j),(233-709j),(29-757j),(-173-739j),(-344-687j),(-476-600j),(-592-482j),(-688-341j),(-745-177j),(-772-10j),(-761+143j),(-697+293j),(-635+431j),(-531+549j),(-412+649j),(-276+725j),(-122+751j),(34+743j),(-7937-6177j),(309+729j),(426+620j),(548+524j),(633+414j),(705+270j),(729+142j),(722-25j),(699-159j),(658-300j),(573-441j),(460-554j),(310-647j),(165-668j),(15-685j),(-146-649j),(-283-594j),(-427-490j),(-529-359j),(-600-217j),(-627-27j),(-600+153j),(-508+317j),(-361+474j),(-163+576j),(86+599j),(331+504j),(524+268j),(10246+5376j),(-11856-32640j),(128+0j),0j
38182b2eef40,1747204947.4811578,(8184+4089j),(4032+4097j),(7168-7193j),(4094+3073j),(697-166j),(449-566j),(34-729j),(-352-650j),(-596-420j),(-718-132j),(-710+175j),(-582+449j),(-376+650j),(-115+731j),(125+729j),(347+662j),(542+531j),(678+345j),(743+134j),(753-82j),(698-294j),(600-488j),(449-634j),(251-734j),(44-776j),(-144-740j),(-364-672j),(-514-555j),(-635-424j),(-635-424j),(-734-62j),(-756+125j),(-7937-6177j),(-613+492j),(-437+598j),(-287+693j),(-110+745j),(94+740j),(292+692j),(440+578j),(580+423j),(666+268j),(717+95j),(712-97j),(645-293j),(533-445j),(380-561j),(201-643j),(-2-672j),(-207-626j),(-390-518j),(-537-363j),(-616-158j),(-623+79j),(-533+299j),(-379+473j),(-161+585j),(111+596j),(388+455j),(566+156j),(10246+5376j),(-11856-32640j),(1152+0j),0j
38182b2eef40,1747204947.4911914,(8184+4089j),(4032+4097j),(7168-7193j),(4094+3073j),(-32-725j),(-438-568j),(-674-245j),(-713+92j),(-626+370j),(-435+581j),(-191+711j),(75+730j),(296+677j),(478+549j),(616+388j),(723+199j),(766-18j),(724-218j),(649-380j),(547-518j),(420-633j),(267-729j),(75-764j),(-98-770j),(-265-733j),(-392-653j),(-532-560j),(-632-426j),(-714-281j),(-755-116j),(-752+36j),(-723+180j),(-7937-6177j),(-606+471j),(-476+574j),(-352+652j),(-212+721j),(-56+743j),(94+748j),(244+680j),(377+618j),(503+521j),(617+392j),(690+240j),(703+61j),(684-91j),(637-242j),(560-379j),(438-507j),(283-601j),(111-646j),(-71-650j),(-249-586j),(-412-462j),(-531-309j),(-609-100j),(-598+135j),(-485+356j),(-268+519j),(55+581j),(10246+5376j),(-11856-32640j),(128+0j),0j
38182b2eef40,1747204947.5019157,(8184+4089j),(4032+4097j),(7168-7193j),(4094+3073j),(80-691j),(-309-632j),(-600-394j),(-715-96j),(-705+183j),(-601+413j),(-432+575j),(-236+674j),(-45+733j),(155+710j),(316+656j),(464+584j),(593+473j),(680+347j),(737+202j),(767+54j),(766-109j),(730-244j),(663-375j),(576-495j),(499-588j),(397-651j),(279-720j),(152-748j),(32-761j),(-76-755j),(-182-722j),(-312-686j),(-7937-6177j),(-550-532j),(-588-459j),(-658-354j),(-712-244j),(-736-119j),(-743+0j),(-713+125j),(-676+231j),(-626+352j),(-567+453j),(-474+535j),(-366+600j),(-247+648j),(-109+676j),(32+674j),(172+645j),(310+582j),(434+492j),(531+372j),(588+223j),(607+54j),(590-105j),(527-267j),(421-432j),(228-549j),(-24-593j),(-284-517j),(10246+5376j),(-11856-32640j),(128+0j),0j
38182b2eef40,1747204947.5112069,(8184+4089j),(4032+4097j),(7168-7193j),(4094+3073j),(-711-52j),(-614+381j),(-303+667j),(52+732j),(335+642j),(552+465j),(692+226j),(723-47j),(678-289j),(548-483j),(392-612j),(224-704j),(19-753j),(-176-734j),(-366-674j),(-528-562j),(-645-410j),(-736-251j),(-768-73j),(-770+112j),(-728+273j),(-636+415j),(-539+559j),(-405+655j),(-265+722j),(-119+750j),(34+744j),(199+717j),(-7937-6177j),(515+584j),(595+448j),(682+313j),(729+159j),(742+10j),(725-151j),(659-289j),(579-443j),(468-560j),(329-644j),(190-695j),(27-714j),(-149-692j),(-310-619j),(-452-504j),(-556-359j),(-619-206j),(-655-31j),(-627+163j),(-535+328j),(-390+480j),(-205+566j),(-6+599j),(219+574j),(428+427j),(566+186j),(573-136j),(10246+5376j),(-11856-32640j),(1152+0j),0j
